Agent_ID,Date,Hour,GROUP_NAME,CALLS_ANSWERED,RONA,LOGGED_ON_TIME,AVAILABLE_TIME,PER_AVAIL,HANDLED_CALLS_TIME,AVG_HANDLE_TIME,POD_NAME
1,2021-01-04,12,CN_SCH_SPECC_SP_SG,0,0,3456,864,0.1628,0,0,POD 3
8,2021-01-04,13,CN_SCH_SPECC_EN_SG,1,0,0,0,0.0,0,0,POD 3
8,2021-01-04,13,CN_SCH_SPECC_POD_1_SG,11,0,3456,1728,0.4506,1728,0,POD 1
8,2021-01-04,13,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,1728,0.4506,0,0,POD 1
14,2021-01-04,13,CN_SCH_SPECC_POD_2_SG,1,0,0,0,0.32630000000000003,0,0,POD 2
14,2021-01-04,13,CN_SCH_SPECC_SP_POD_2_SG,0,0,0,0,0.32630000000000003,0,0,POD 2
3,2021-01-04,13,CN_SCH_SPECC_EN_SG,1,0,3456,0,0.0003,0,0,POD 3
3,2021-01-04,13,CN_SCH_SPECC_SP_SG,0,0,3456,0,0.0003,0,0,POD 3
5,2021-01-04,13,CN_SCH_SPECC_POD_1_SG,2,0,3456,864,0.1278,0,0,POD 1
5,2021-01-04,13,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,864,0.1278,0,0,POD 1
4,2021-01-04,13,CN_SCH_SPECC_POD_2_SG,8,1,3456,864,0.24719999999999998,1728,0,POD 2
4,2021-01-04,13,CN_SCH_SPECC_SP_POD_2_SG,0,0,3456,864,0.24719999999999998,0,0,POD 2
7,2021-01-04,13,CN_SCH_SPECC_EN_SG,7,0,3456,0,0.0097,1728,0,POD 3
7,2021-01-04,13,CN_SCH_SPECC_SP_SG,1,0,3456,0,0.0097,0,0,POD 3
1,2021-01-04,13,CN_SCH_SPECC_EN_SG,1,0,3456,0,0.0003,0,0,POD 3
1,2021-01-04,13,CN_SCH_SPECC_SP_SG,0,0,3456,0,0.0003,0,0,POD 3
8,2021-01-04,14,CN_SCH_SPECC_EN_SG,1,0,0,0,0.0,0,0,POD 3
8,2021-01-04,14,CN_SCH_SPECC_POD_1_SG,10,0,3456,864,0.2792,1728,0,POD 1
8,2021-01-04,14,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,864,0.2792,0,0,POD 1
14,2021-01-04,14,CN_SCH_SPECC_POD_2_SG,10,0,2592,864,0.3889,864,0,POD 2
14,2021-01-04,14,CN_SCH_SPECC_SP_POD_2_SG,0,0,2592,864,0.3892,0,0,POD 2
3,2021-01-04,14,CN_SCH_SPECC_EN_SG,8,0,3456,0,0.10279999999999999,2592,0,POD 3
3,2021-01-04,14,CN_SCH_SPECC_SP_SG,1,0,3456,0,0.10279999999999999,0,0,POD 3
5,2021-01-04,14,CN_SCH_SPECC_POD_1_SG,8,0,3456,864,0.22440000000000002,864,0,POD 1
5,2021-01-04,14,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,864,0.22440000000000002,0,0,POD 1
4,2021-01-04,14,CN_SCH_SPECC_POD_2_SG,12,0,3456,864,0.2672,2592,0,POD 2
4,2021-01-04,14,CN_SCH_SPECC_SP_POD_2_SG,0,0,3456,864,0.2672,0,0,POD 2
7,2021-01-04,14,CN_SCH_SPECC_EN_SG,8,0,3456,864,0.1253,2592,0,POD 3
7,2021-01-04,14,CN_SCH_SPECC_SP_SG,0,0,3456,864,0.1253,0,0,POD 3
1,2021-01-04,14,CN_SCH_SPECC_EN_SG,6,0,3456,864,0.1283,864,0,POD 3
1,2021-01-04,14,CN_SCH_SPECC_SP_SG,0,0,3456,864,0.1283,0,0,POD 3
8,2021-01-04,15,CN_SCH_SPECC_POD_1_SG,8,1,3456,1728,0.5578,1728,0,POD 1
8,2021-01-04,15,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,1728,0.5578,0,0,POD 1
14,2021-01-04,15,CN_SCH_SPECC_POD_2_SG,8,0,3456,1728,0.4019,1728,0,POD 2
14,2021-01-04,15,CN_SCH_SPECC_SP_POD_2_SG,1,0,3456,1728,0.4019,0,0,POD 2
3,2021-01-04,15,CN_SCH_SPECC_EN_SG,6,0,3456,864,0.29359999999999997,3456,864,POD 3
3,2021-01-04,15,CN_SCH_SPECC_SP_SG,0,0,3456,864,0.29359999999999997,0,0,POD 3
5,2021-01-04,15,CN_SCH_SPECC_POD_1_SG,6,0,3456,1728,0.505,1728,0,POD 1
5,2021-01-04,15,CN_SCH_SPECC_SP_POD_1_SG,1,0,3456,1728,0.505,864,864,POD 1
4,2021-01-04,15,CN_SCH_SPECC_POD_2_SG,6,0,3456,1728,0.42219999999999996,1728,0,POD 2
4,2021-01-04,15,CN_SCH_SPECC_SP_POD_2_SG,0,0,3456,1728,0.42219999999999996,0,0,POD 2
7,2021-01-04,15,CN_SCH_SPECC_EN_SG,5,0,3456,1728,0.37439999999999996,2592,0,POD 3
7,2021-01-04,15,CN_SCH_SPECC_SP_SG,0,0,3456,1728,0.37439999999999996,0,0,POD 3
1,2021-01-04,15,CN_SCH_SPECC_EN_SG,6,0,3456,1728,0.38530000000000003,1728,0,POD 3
1,2021-01-04,15,CN_SCH_SPECC_SP_SG,0,0,3456,1728,0.38530000000000003,0,0,POD 3
8,2021-01-04,16,CN_SCH_SPECC_POD_1_SG,8,0,3456,1728,0.5569,1728,0,POD 1
8,2021-01-04,16,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,1728,0.5569,0,0,POD 1
14,2021-01-04,16,CN_SCH_SPECC_POD_2_SG,7,0,3456,1728,0.5821999999999999,1728,0,POD 2
14,2021-01-04,16,CN_SCH_SPECC_SP_POD_2_SG,0,0,3456,1728,0.5821999999999999,0,0,POD 2
3,2021-01-04,16,CN_SCH_SPECC_EN_SG,5,0,3456,1728,0.5375,1728,0,POD 3
3,2021-01-04,16,CN_SCH_SPECC_SP_SG,0,0,3456,1728,0.5375,0,0,POD 3
5,2021-01-04,16,CN_SCH_SPECC_POD_1_SG,6,0,3456,2592,0.62,864,0,POD 1
5,2021-01-04,16,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,2592,0.62,0,0,POD 1
4,2021-01-04,16,CN_SCH_SPECC_POD_2_SG,4,1,3456,2592,0.6507999999999999,1728,0,POD 2
4,2021-01-04,16,CN_SCH_SPECC_SP_POD_2_SG,0,0,3456,2592,0.6507999999999999,0,0,POD 2
7,2021-01-04,16,CN_SCH_SPECC_EN_SG,5,0,3456,1728,0.5425,864,0,POD 3
7,2021-01-04,16,CN_SCH_SPECC_SP_SG,0,0,3456,1728,0.5425,0,0,POD 3
1,2021-01-04,16,CN_SCH_SPECC_EN_SG,0,0,0,0,0.8043,0,0,POD 3
1,2021-01-04,16,CN_SCH_SPECC_SP_SG,0,0,0,0,0.8043,0,0,POD 3
8,2021-01-04,17,CN_SCH_SPECC_POD_1_SG,0,0,0,0,0.8765000000000001,0,0,POD 1
8,2021-01-04,17,CN_SCH_SPECC_SP_POD_1_SG,0,0,0,0,0.8765000000000001,0,0,POD 1
14,2021-01-04,17,CN_SCH_SPECC_POD_2_SG,5,0,1728,864,0.41700000000000004,864,0,POD 2
14,2021-01-04,17,CN_SCH_SPECC_SP_POD_2_SG,0,0,1728,864,0.41700000000000004,0,0,POD 2
3,2021-01-04,17,CN_SCH_SPECC_EN_SG,0,0,0,0,0.25,0,0,POD 3
3,2021-01-04,17,CN_SCH_SPECC_SP_SG,0,0,0,0,0.25,0,0,POD 3
5,2021-01-04,17,CN_SCH_SPECC_POD_1_SG,1,0,3456,1728,0.4986,0,0,POD 1
5,2021-01-04,17,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,1728,0.4986,0,0,POD 1
4,2021-01-04,17,CN_SCH_SPECC_POD_2_SG,0,0,0,0,0.8936,0,0,POD 2
4,2021-01-04,17,CN_SCH_SPECC_SP_POD_2_SG,0,0,0,0,0.8936,0,0,POD 2
7,2021-01-04,17,CN_SCH_SPECC_EN_SG,0,0,0,0,0.0,0,0,POD 3
7,2021-01-04,17,CN_SCH_SPECC_SP_SG,0,0,0,0,0.0,0,0,POD 3
2,2021-01-04,08,CN_SCH_SPECC_EN_SG,5,0,1728,0,0.2225,1728,0,POD 3
2,2021-01-04,08,CN_SCH_SPECC_SP_SG,0,0,1728,0,0.2225,0,0,POD 3
2,2021-01-04,09,CN_SCH_SPECC_EN_SG,9,0,3456,0,0.051100000000000007,2592,0,POD 3
2,2021-01-04,09,CN_SCH_SPECC_SP_SG,1,0,3456,0,0.051100000000000007,864,864,POD 3
2,2021-01-04,10,CN_SCH_SPECC_EN_SG,6,0,3456,864,0.2569,864,0,POD 3
2,2021-01-04,10,CN_SCH_SPECC_SP_SG,0,0,3456,864,0.2569,0,0,POD 3
2,2021-01-04,11,CN_SCH_SPECC_EN_SG,8,1,3456,864,0.2169,1728,0,POD 3
2,2021-01-04,11,CN_SCH_SPECC_SP_SG,1,0,3456,864,0.2169,864,864,POD 3
2,2021-01-04,12,CN_SCH_SPECC_EN_SG,5,0,3456,0,0.0008,864,0,POD 3
2,2021-01-04,12,CN_SCH_SPECC_SP_SG,0,0,3456,0,0.0008,0,0,POD 3
2,2021-01-04,13,CN_SCH_SPECC_EN_SG,16,0,3456,0,0.0689,3456,0,POD 3
2,2021-01-04,13,CN_SCH_SPECC_SP_SG,1,0,3456,0,0.0689,0,0,POD 3
2,2021-01-04,14,CN_SCH_SPECC_EN_SG,12,0,3456,864,0.2697,2592,0,POD 3
2,2021-01-04,14,CN_SCH_SPECC_SP_SG,0,0,3456,864,0.2697,0,0,POD 3
2,2021-01-04,15,CN_SCH_SPECC_EN_SG,9,0,3456,864,0.3547,1728,0,POD 3
2,2021-01-04,15,CN_SCH_SPECC_SP_SG,0,0,3456,864,0.3547,0,0,POD 3
2,2021-01-04,16,CN_SCH_SPECC_EN_SG,5,0,3456,2592,0.7964,864,0,POD 3
2,2021-01-04,16,CN_SCH_SPECC_SP_SG,0,0,3456,2592,0.7964,0,0,POD 3
2,2021-01-04,17,CN_SCH_SPECC_EN_SG,0,0,0,0,0.40909999999999996,0,0,POD 3
2,2021-01-04,17,CN_SCH_SPECC_SP_SG,0,0,0,0,0.40909999999999996,0,0,POD 3
11,2021-01-04,08,CN_SCH_SPECC_POD_2_SG,8,0,3456,1728,0.5694,864,0,POD 2
11,2021-01-04,08,CN_SCH_SPECC_SP_POD_2_SG,1,0,3456,1728,0.5694,0,0,POD 2
11,2021-01-04,09,CN_SCH_SPECC_POD_2_SG,10,0,3456,1728,0.5494,1728,0,POD 2
11,2021-01-04,09,CN_SCH_SPECC_SP_POD_2_SG,0,0,3456,1728,0.5494,0,0,POD 2
11,2021-01-04,10,CN_SCH_SPECC_POD_2_SG,13,0,3456,1728,0.49560000000000004,1728,0,POD 2
11,2021-01-04,10,CN_SCH_SPECC_SP_POD_2_SG,0,0,3456,1728,0.49560000000000004,0,0,POD 2
11,2021-01-04,11,CN_SCH_SPECC_POD_2_SG,0,0,3456,0,0.0,0,0,POD 2
11,2021-01-04,11,CN_SCH_SPECC_SP_POD_2_SG,0,0,3456,0,0.0,0,0,POD 2
11,2021-01-04,12,CN_SCH_SPECC_POD_2_SG,11,0,3456,1728,0.4617,1728,0,POD 2
11,2021-01-04,12,CN_SCH_SPECC_SP_POD_2_SG,0,0,3456,1728,0.4617,0,0,POD 2
11,2021-01-04,13,CN_SCH_SPECC_POD_2_SG,9,0,3456,1728,0.43060000000000004,1728,0,POD 2
11,2021-01-04,13,CN_SCH_SPECC_SP_POD_2_SG,1,0,3456,1728,0.43060000000000004,864,864,POD 2
