Date,Agent_ID,Break[10003],Extended Wrap Up[10048],Go To Logout[10025],Lunch[10001],Undefined[0],CTI Failure[50002],Outbound Calls[32],RONA[32767],Administration[11043],Computer Issues[10030],Meeting[10007],[50003],Training[10005],[32762],[999],Member Facing Work[11494],Missed Tasks[50010]
1/8/21,14,,98.4,1.1,,0.5,,,,,,,,,,,,
1/11/21,12,20.0,6.5,0.1,68.8,4.5,,,0.1,,,,,,,,,
1/11/21,11,9.5,1.3,0.2,86.9,1.7,,0.2,0.1,,,,,,,,,
1/11/21,16,17.5,8.9,,70.7,3.0,,,,,,,,,,,,
1/11/21,1,13.0,4.4,0.1,80.9,1.3,0.3,,1.3,0.1,,,,,,,,
1/11/21,3,4.7,30.4,0.4,63.9,0.2,,0.4,,,,,,,,,,
1/11/21,8,6.9,17.7,0.2,75.2,0.1,,,,,,,,,,,,
1/11/21,7,0.2,20.2,0.1,77.8,1.7,,,0.0,,,,,,,,,
1/11/21,6,6.4,48.3,0.7,43.5,1.1,,,,,,,,,,,,
1/11/21,18,47.1,52.3,0.4,,0.2,,,,,,,,,,,,
1/11/21,14,20.0,79.0,0.7,,0.3,,,,,,,,,,,,
1/11/21,14,77.7,21.8,0.3,,0.2,,,,,,,,,,,,
1/12/21,4,3.4,,0.1,85.5,10.7,,,0.2,0.1,,,,,,,,
1/12/21,12,11.6,21.6,0.1,63.6,3.2,,,,,,,,,,,,
1/12/21,11,12.6,3.4,0.1,69.4,14.6,,,,,,,,,,,,
1/12/21,1,13.0,7.2,0.1,72.3,3.3,4.1,,,,,,,,,,,
1/12/21,13,16.7,10.8,0.1,68.2,4.1,,,0.1,,,,,,,,,
1/12/21,8,,2.3,0.1,52.9,0.1,,,,44.7,,,,,,,,
1/12/21,6,8.5,27.7,0.2,63.2,0.5,,,,,,,,,,,,
1/12/21,7,,20.2,0.3,76.5,2.9,,,0.1,,,,,,,,,
1/12/21,5,16.3,25.4,0.1,57.7,0.5,,,,,,,,,,,,
1/12/21,18,42.9,31.0,0.6,,25.5,,,,,,,,,,,,
