Agent_ID,LOG_ON_DATE_TIME,REASON_CODE,DURATION
6,2021-01-05 08:35:00,Lunch[10001],3559
13,2021-01-05 08:36:00,Break[10003],1165
13,2021-01-05 08:36:00,Extended Wrap Up[10048],289
13,2021-01-05 08:36:00,Go To Logout[10025],26
13,2021-01-05 08:36:00,Lunch[10001],21
13,2021-01-05 08:36:00,RONA[32767],11
18,2021-01-05 09:08:00,Break[10003],916
18,2021-01-05 09:08:00,Extended Wrap Up[10048],1027
18,2021-01-05 09:08:00,Go To Logout[10025],8
14,2021-01-05 09:08:00,Administration[11043],344
14,2021-01-05 09:08:00,Break[10003],170
14,2021-01-05 09:08:00,Extended Wrap Up[10048],929
14,2021-01-05 09:08:00,Go To Logout[10025],8
14,2021-01-05 09:08:00,RONA[32767],4
5,2021-01-05 09:09:00,Break[10003],1459
5,2021-01-05 09:09:00,Extended Wrap Up[10048],1391
5,2021-01-05 09:09:00,Go To Logout[10025],4
5,2021-01-05 09:09:00,Lunch[10001],185
5,2021-01-05 09:09:00,RONA[32767],2
14,2021-01-05 14:10:00,Break[10003],174
14,2021-01-05 14:10:00,Extended Wrap Up[10048],375
14,2021-01-05 14:10:00,Go To Logout[10025],5
11,2021-01-06 07:56:00,Break[10003],394
11,2021-01-06 07:56:00,Go To Logout[10025],14
11,2021-01-06 07:56:00,Lunch[10001],21
1,2021-01-06 08:27:00,Break[10003],1120
1,2021-01-06 08:27:00,Computer Issues[10030],172
1,2021-01-06 08:27:00,Extended Wrap Up[10048],465
1,2021-01-06 08:27:00,Go To Logout[10025],3
1,2021-01-06 08:27:00,Lunch[10001],59
1,2021-01-06 08:27:00,RONA[32767],5
4,2021-01-06 08:28:00,Break[10003],1109
4,2021-01-06 08:28:00,Go To Logout[10025],67
4,2021-01-06 08:28:00,Lunch[10001],67
4,2021-01-06 08:28:00,RONA[32767],8
6,2021-01-06 08:29:00,Break[10003],341
6,2021-01-06 08:29:00,Extended Wrap Up[10048],2768
6,2021-01-06 08:29:00,Go To Logout[10025],4
6,2021-01-06 08:29:00,Lunch[10001],3589
8,2021-01-06 08:30:00,Break[10003],163
8,2021-01-06 08:30:00,Extended Wrap Up[10048],416
8,2021-01-06 08:30:00,Go To Logout[10025],5
8,2021-01-06 08:30:00,Lunch[10001],20
12,2021-01-06 08:30:00,Break[10003],924
12,2021-01-06 08:30:00,Extended Wrap Up[10048],965
12,2021-01-06 08:30:00,Go To Logout[10025],4
12,2021-01-06 08:30:00,Lunch[10001],129
12,2021-01-06 08:30:00,RONA[32767],75
7,2021-01-06 08:32:00,Administration[11043],1122
7,2021-01-06 08:32:00,Extended Wrap Up[10048],960
7,2021-01-06 08:32:00,Go To Logout[10025],28
7,2021-01-06 08:32:00,Lunch[10001],319
18,2021-01-06 09:05:00,Break[10003],925
18,2021-01-06 09:05:00,Extended Wrap Up[10048],1269
18,2021-01-06 09:05:00,Go To Logout[10025],6
5,2021-01-06 09:05:00,Break[10003],1048
5,2021-01-06 09:05:00,Computer Issues[10030],3
5,2021-01-06 09:05:00,Extended Wrap Up[10048],842
5,2021-01-06 09:05:00,Go To Logout[10025],4
5,2021-01-06 09:05:00,Lunch[10001],324
5,2021-01-06 09:05:00,RONA[32767],33
14,2021-01-06 09:09:00,Break[10003],199
14,2021-01-06 09:09:00,Extended Wrap Up[10048],527
14,2021-01-06 09:09:00,Go To Logout[10025],6
14,2021-01-06 14:11:00,Break[10003],263
14,2021-01-06 14:11:00,Extended Wrap Up[10048],636
14,2021-01-06 14:11:00,Go To Logout[10025],7
4,2021-01-07 07:48:00,Break[10003],164
4,2021-01-07 07:48:00,Lunch[10001],8
2,2021-01-07 08:27:00,Break[10003],1391
2,2021-01-07 08:27:00,Go To Logout[10025],6
2,2021-01-07 08:27:00,Lunch[10001],2690
6,2021-01-07 08:29:00,Break[10003],390
6,2021-01-07 08:29:00,Extended Wrap Up[10048],2532
6,2021-01-07 08:29:00,Go To Logout[10025],3
6,2021-01-07 08:29:00,Lunch[10001],3596
8,2021-01-07 08:29:00,Extended Wrap Up[10048],543
8,2021-01-07 08:29:00,Go To Logout[10025],17
8,2021-01-07 08:29:00,Lunch[10001],51
12,2021-01-07 08:30:00,Break[10003],1053
12,2021-01-07 08:30:00,Computer Issues[10030],8
12,2021-01-07 08:30:00,Extended Wrap Up[10048],699
12,2021-01-07 08:30:00,Lunch[10001],135
1,2021-01-07 08:30:00,Administration[11043],2
1,2021-01-07 08:30:00,Break[10003],751
1,2021-01-07 08:30:00,Extended Wrap Up[10048],397
1,2021-01-07 08:30:00,Go To Logout[10025],5
1,2021-01-07 08:30:00,Lunch[10001],108
7,2021-01-07 08:33:00,Extended Wrap Up[10048],1154
7,2021-01-07 08:33:00,Go To Logout[10025],19
7,2021-01-07 08:33:00,Lunch[10001],16
7,2021-01-07 08:33:00,RONA[32767],10
5,2021-01-07 09:03:00,Break[10003],1012
5,2021-01-07 09:03:00,Extended Wrap Up[10048],969
5,2021-01-07 09:03:00,Go To Logout[10025],4
5,2021-01-07 09:03:00,Lunch[10001],227
5,2021-01-07 09:03:00,RONA[32767],0
18,2021-01-07 09:04:00,Break[10003],923
18,2021-01-07 09:04:00,Extended Wrap Up[10048],1580
18,2021-01-07 09:04:00,Go To Logout[10025],159
14,2021-01-07 09:09:00,Extended Wrap Up[10048],554
14,2021-01-07 09:09:00,Go To Logout[10025],5
14,2021-01-07 09:09:00,RONA[32767],3
4,2021-01-07 12:02:00,Break[10003],137
4,2021-01-07 12:02:00,Go To Logout[10025],6
14,2021-01-07 14:08:00,Break[10003],168
14,2021-01-07 14:08:00,Extended Wrap Up[10048],771
14,2021-01-07 14:08:00,Go To Logout[10025],4
14,2021-01-07 14:08:00,RONA[32767],35
12,2021-01-07 15:00:00,Break[10003],292
12,2021-01-07 15:00:00,Computer Issues[10030],61
12,2021-01-07 15:00:00,Go To Logout[10025],24
4,2021-01-08 07:48:00,Break[10003],765
4,2021-01-08 07:48:00,Go To Logout[10025],4
4,2021-01-08 07:48:00,Lunch[10001],175
4,2021-01-08 07:48:00,RONA[32767],7
16,2021-01-08 07:48:00,Administration[11043],331
16,2021-01-08 07:48:00,Break[10003],111
16,2021-01-08 07:48:00,Go To Logout[10025],2
1,2021-01-08 08:25:00,Break[10003],618
1,2021-01-08 08:25:00,Extended Wrap Up[10048],596
1,2021-01-08 08:25:00,Go To Logout[10025],5
1,2021-01-08 08:25:00,Lunch[10001],35
2,2021-01-08 08:29:00,Administration[11043],429
2,2021-01-08 08:29:00,Break[10003],1370
2,2021-01-08 08:29:00,Go To Logout[10025],6
2,2021-01-08 08:29:00,Lunch[10001],2711
3,2021-01-08 08:30:00,Administration[11043],277
3,2021-01-08 08:30:00,Break[10003],355
3,2021-01-08 08:30:00,Extended Wrap Up[10048],1238
3,2021-01-08 08:30:00,Go To Logout[10025],3
3,2021-01-08 08:30:00,Lunch[10001],6
3,2021-01-08 08:30:00,Outbound Calls[32],8
8,2021-01-08 08:30:00,Administration[11043],500
8,2021-01-08 08:30:00,Extended Wrap Up[10048],347
8,2021-01-08 08:30:00,Go To Logout[10025],5
8,2021-01-08 08:30:00,Lunch[10001],8
12,2021-01-08 08:30:00,Administration[11043],188
12,2021-01-08 08:30:00,Break[10003],1332
12,2021-01-08 08:30:00,Extended Wrap Up[10048],513
12,2021-01-08 08:30:00,Go To Logout[10025],5
12,2021-01-08 08:30:00,Lunch[10001],72
12,2021-01-08 08:30:00,Meeting[10007],360
