Agent_ID,LOG_ON_DATE_TIME,REASON_CODE,DURATION
11,2021-01-04 07:47:00,Break[10003],24720
11,2021-01-04 07:47:00,Extended Wrap Up[10048],6180
11,2021-01-04 07:47:00,Go To Logout[10025],300
11,2021-01-04 07:47:00,Lunch[10001],215400
1,2021-01-04 08:27:00,Break[10003],14940
1,2021-01-04 08:27:00,Extended Wrap Up[10048],42240
1,2021-01-04 08:27:00,Go To Logout[10025],480
1,2021-01-04 08:27:00,Lunch[10001],1440
2,2021-01-04 08:29:00,Break[10003],99480
2,2021-01-04 08:29:00,Go To Logout[10025],720
2,2021-01-04 08:29:00,Lunch[10001],163500
2,2021-01-04 08:29:00,Outbound Calls[32],20100
2,2021-01-04 08:29:00,RONA[32767],840
3,2021-01-04 08:30:00,Break[10003],15240
3,2021-01-04 08:30:00,Extended Wrap Up[10048],98700
3,2021-01-04 08:30:00,Go To Logout[10025],300
3,2021-01-04 08:30:00,Lunch[10001],1200
4,2021-01-04 08:31:00,Break[10003],25440
4,2021-01-04 08:31:00,Go To Logout[10025],240
4,2021-01-04 08:31:00,Lunch[10001],3780
4,2021-01-04 08:31:00,Outbound Calls[32],46740
4,2021-01-04 08:31:00,RONA[32767],780
6,2021-01-04 08:31:00,Break[10003],37680
6,2021-01-04 08:31:00,Extended Wrap Up[10048],214320
6,2021-01-04 08:31:00,Go To Logout[10025],240
6,2021-01-04 08:31:00,Lunch[10001],215940
6,2021-01-04 08:31:00,Outbound Calls[32],600
8,2021-01-04 08:32:00,Break[10003],9660
8,2021-01-04 08:32:00,Extended Wrap Up[10048],31080
8,2021-01-04 08:32:00,Go To Logout[10025],600
8,2021-01-04 08:32:00,Lunch[10001],2340
8,2021-01-04 08:32:00,RONA[32767],60
7,2021-01-04 08:33:00,Break[10003],24060
7,2021-01-04 08:33:00,Extended Wrap Up[10048],55020
7,2021-01-04 08:33:00,Go To Logout[10025],1380
7,2021-01-04 08:33:00,Lunch[10001],4020
5,2021-01-04 09:04:00,Break[10003],76740
5,2021-01-04 09:04:00,Extended Wrap Up[10048],101520
5,2021-01-04 09:04:00,Lunch[10001],6180
14,2021-01-04 09:12:00,Administration[11043],480
14,2021-01-04 09:12:00,Extended Wrap Up[10048],93660
14,2021-01-04 09:12:00,Go To Logout[10025],360
14,2021-01-04 09:12:00,RONA[32767],3960
14,2021-01-04 14:11:00,Break[10003],10020
14,2021-01-04 14:11:00,Extended Wrap Up[10048],57840
