Agent_ID,LOG_ON_DATE_TIME,REASON_CODE,DURATION
14,2021-01-04 14:11:00,Go To Logout[10025],180
11,2021-01-05 07:50:00,Administration[11043],13200
11,2021-01-05 07:50:00,Break[10003],52980
11,2021-01-05 07:50:00,Go To Logout[10025],300
11,2021-01-05 07:50:00,Lunch[10001],213300
11,2021-01-05 07:50:00,Outbound Calls[32],840
1,2021-01-05 08:23:00,Break[10003],41700
1,2021-01-05 08:23:00,Extended Wrap Up[10048],3600
1,2021-01-05 08:23:00,Go To Logout[10025],240
1,2021-01-05 08:23:00,Lunch[10001],6420
2,2021-01-05 08:30:00,Break[10003],74640
2,2021-01-05 08:30:00,Go To Logout[10025],360
12,2021-01-05 08:30:00,Break[10003],42120
12,2021-01-05 08:30:00,Extended Wrap Up[10048],42300
12,2021-01-05 08:30:00,Go To Logout[10025],300
12,2021-01-05 08:30:00,Lunch[10001],6720
4,2021-01-05 08:31:00,Break[10003],23820
4,2021-01-05 08:31:00,Go To Logout[10025],240
4,2021-01-05 08:31:00,Lunch[10001],3600
4,2021-01-05 08:31:00,RONA[32767],480
3,2021-01-05 08:32:00,Break[10003],47940
3,2021-01-05 08:32:00,Extended Wrap Up[10048],103200
3,2021-01-05 08:32:00,Go To Logout[10025],420
3,2021-01-05 08:32:00,Lunch[10001],480
3,2021-01-05 08:32:00,Outbound Calls[32],5880
8,2021-01-05 08:34:00,Extended Wrap Up[10048],43140
8,2021-01-05 08:34:00,Go To Logout[10025],420
8,2021-01-05 08:34:00,Lunch[10001],1320
6,2021-01-05 08:35:00,Break[10003],29220
6,2021-01-05 08:35:00,Extended Wrap Up[10048],21600
6,2021-01-05 08:35:00,Go To Logout[10025],420
6,2021-01-05 08:35:00,Lunch[10001],213540
13,2021-01-05 08:36:00,Break[10003],69900
13,2021-01-05 08:36:00,Extended Wrap Up[10048],17340
13,2021-01-05 08:36:00,Go To Logout[10025],1560
13,2021-01-05 08:36:00,Lunch[10001],1260
13,2021-01-05 08:36:00,RONA[32767],660
18,2021-01-05 09:08:00,Break[10003],54960
18,2021-01-05 09:08:00,Extended Wrap Up[10048],61620
18,2021-01-05 09:08:00,Go To Logout[10025],480
14,2021-01-05 09:08:00,Administration[11043],20640
14,2021-01-05 09:08:00,Break[10003],10200
14,2021-01-05 09:08:00,Extended Wrap Up[10048],55740
14,2021-01-05 09:08:00,Go To Logout[10025],480
14,2021-01-05 09:08:00,RONA[32767],240
5,2021-01-05 09:09:00,Break[10003],87540
5,2021-01-05 09:09:00,Extended Wrap Up[10048],83460
5,2021-01-05 09:09:00,Go To Logout[10025],240
5,2021-01-05 09:09:00,Lunch[10001],11100
5,2021-01-05 09:09:00,RONA[32767],120
14,2021-01-05 14:10:00,Break[10003],10440
14,2021-01-05 14:10:00,Extended Wrap Up[10048],22500
14,2021-01-05 14:10:00,Go To Logout[10025],300
11,2021-01-06 07:56:00,Break[10003],23640
11,2021-01-06 07:56:00,Go To Logout[10025],840
11,2021-01-06 07:56:00,Lunch[10001],1260
1,2021-01-06 08:27:00,Break[10003],67200
1,2021-01-06 08:27:00,Computer Issues[10030],10320
1,2021-01-06 08:27:00,Extended Wrap Up[10048],27900
1,2021-01-06 08:27:00,Go To Logout[10025],180
1,2021-01-06 08:27:00,Lunch[10001],3540
1,2021-01-06 08:27:00,RONA[32767],300
4,2021-01-06 08:28:00,Break[10003],66540
4,2021-01-06 08:28:00,Go To Logout[10025],4020
4,2021-01-06 08:28:00,Lunch[10001],4020
4,2021-01-06 08:28:00,RONA[32767],480
6,2021-01-06 08:29:00,Break[10003],20460
6,2021-01-06 08:29:00,Extended Wrap Up[10048],166080
6,2021-01-06 08:29:00,Go To Logout[10025],240
6,2021-01-06 08:29:00,Lunch[10001],215340
8,2021-01-06 08:30:00,Break[10003],9780
8,2021-01-06 08:30:00,Extended Wrap Up[10048],24960
8,2021-01-06 08:30:00,Go To Logout[10025],300
8,2021-01-06 08:30:00,Lunch[10001],1200
12,2021-01-06 08:30:00,Break[10003],55440
12,2021-01-06 08:30:00,Extended Wrap Up[10048],57900
12,2021-01-06 08:30:00,Go To Logout[10025],240
12,2021-01-06 08:30:00,Lunch[10001],7740
12,2021-01-06 08:30:00,RONA[32767],4500
7,2021-01-06 08:32:00,Administration[11043],67320
7,2021-01-06 08:32:00,Extended Wrap Up[10048],57600
7,2021-01-06 08:32:00,Go To Logout[10025],1680
7,2021-01-06 08:32:00,Lunch[10001],19140
18,2021-01-06 09:05:00,Break[10003],55500
18,2021-01-06 09:05:00,Extended Wrap Up[10048],76140
18,2021-01-06 09:05:00,Go To Logout[10025],360
5,2021-01-06 09:05:00,Break[10003],62880
5,2021-01-06 09:05:00,Computer Issues[10030],180
5,2021-01-06 09:05:00,Extended Wrap Up[10048],50520
5,2021-01-06 09:05:00,Go To Logout[10025],240
5,2021-01-06 09:05:00,Lunch[10001],19440
5,2021-01-06 09:05:00,RONA[32767],1980
14,2021-01-06 09:09:00,Break[10003],11940
14,2021-01-06 09:09:00,Extended Wrap Up[10048],31620
14,2021-01-06 09:09:00,Go To Logout[10025],360
14,2021-01-06 14:11:00,Break[10003],15780
14,2021-01-06 14:11:00,Extended Wrap Up[10048],38160
14,2021-01-06 14:11:00,Go To Logout[10025],420
4,2021-01-07 07:48:00,Break[10003],9840
4,2021-01-07 07:48:00,Lunch[10001],480
2,2021-01-07 08:27:00,Break[10003],83460
2,2021-01-07 08:27:00,Go To Logout[10025],360
2,2021-01-07 08:27:00,Lunch[10001],161400
6,2021-01-07 08:29:00,Break[10003],23400
6,2021-01-07 08:29:00,Extended Wrap Up[10048],151920
6,2021-01-07 08:29:00,Go To Logout[10025],180
6,2021-01-07 08:29:00,Lunch[10001],215760
8,2021-01-07 08:29:00,Extended Wrap Up[10048],32580
8,2021-01-07 08:29:00,Go To Logout[10025],1020
8,2021-01-07 08:29:00,Lunch[10001],3060
12,2021-01-07 08:30:00,Break[10003],63180
12,2021-01-07 08:30:00,Computer Issues[10030],480
12,2021-01-07 08:30:00,Extended Wrap Up[10048],41940
12,2021-01-07 08:30:00,Lunch[10001],8100
1,2021-01-07 08:30:00,Administration[11043],120
1,2021-01-07 08:30:00,Break[10003],45060
1,2021-01-07 08:30:00,Extended Wrap Up[10048],23820
1,2021-01-07 08:30:00,Go To Logout[10025],300
1,2021-01-07 08:30:00,Lunch[10001],6480
7,2021-01-07 08:33:00,Extended Wrap Up[10048],69240
7,2021-01-07 08:33:00,Go To Logout[10025],1140
7,2021-01-07 08:33:00,Lunch[10001],960
7,2021-01-07 08:33:00,RONA[32767],600
5,2021-01-07 09:03:00,Break[10003],60720
5,2021-01-07 09:03:00,Extended Wrap Up[10048],58140
5,2021-01-07 09:03:00,Go To Logout[10025],240
5,2021-01-07 09:03:00,Lunch[10001],13620
5,2021-01-07 09:03:00,RONA[32767],0
18,2021-01-07 09:04:00,Break[10003],55380
18,2021-01-07 09:04:00,Extended Wrap Up[10048],94800
18,2021-01-07 09:04:00,Go To Logout[10025],9540
14,2021-01-07 09:09:00,Extended Wrap Up[10048],33240
14,2021-01-07 09:09:00,Go To Logout[10025],300
14,2021-01-07 09:09:00,RONA[32767],180
4,2021-01-07 12:02:00,Break[10003],8220
4,2021-01-07 12:02:00,Go To Logout[10025],360
14,2021-01-07 14:08:00,Break[10003],10080
14,2021-01-07 14:08:00,Extended Wrap Up[10048],46260
14,2021-01-07 14:08:00,Go To Logout[10025],240
14,2021-01-07 14:08:00,RONA[32767],2100
12,2021-01-07 15:00:00,Break[10003],17520
12,2021-01-07 15:00:00,Computer Issues[10030],3660
12,2021-01-07 15:00:00,Go To Logout[10025],1440
4,2021-01-08 07:48:00,Break[10003],45900
4,2021-01-08 07:48:00,Go To Logout[10025],240
4,2021-01-08 07:48:00,Lunch[10001],10500
4,2021-01-08 07:48:00,RONA[32767],420
16,2021-01-08 07:48:00,Administration[11043],19860
16,2021-01-08 07:48:00,Break[10003],6660
16,2021-01-08 07:48:00,Go To Logout[10025],120
1,2021-01-08 08:25:00,Break[10003],37080
1,2021-01-08 08:25:00,Extended Wrap Up[10048],35760
1,2021-01-08 08:25:00,Go To Logout[10025],300
1,2021-01-08 08:25:00,Lunch[10001],2100
2,2021-01-08 08:29:00,Administration[11043],25740
2,2021-01-08 08:29:00,Break[10003],82200
2,2021-01-08 08:29:00,Go To Logout[10025],360
2,2021-01-08 08:29:00,Lunch[10001],162660
3,2021-01-08 08:30:00,Administration[11043],16620
3,2021-01-08 08:30:00,Break[10003],21300
3,2021-01-08 08:30:00,Extended Wrap Up[10048],74280
3,2021-01-08 08:30:00,Go To Logout[10025],180
3,2021-01-08 08:30:00,Lunch[10001],360
3,2021-01-08 08:30:00,Outbound Calls[32],480
8,2021-01-08 08:30:00,Administration[11043],30000
8,2021-01-08 08:30:00,Extended Wrap Up[10048],20820
8,2021-01-08 08:30:00,Go To Logout[10025],300
8,2021-01-08 08:30:00,Lunch[10001],480
12,2021-01-08 08:30:00,Administration[11043],11280
12,2021-01-08 08:30:00,Break[10003],79920
12,2021-01-08 08:30:00,Extended Wrap Up[10048],30780
12,2021-01-08 08:30:00,Go To Logout[10025],300
12,2021-01-08 08:30:00,Lunch[10001],4320
12,2021-01-08 08:30:00,Meeting[10007],21600
12,2021-01-08 08:30:00,RONA[32767],600
6,2021-01-08 08:31:00,Break[10003],29880
6,2021-01-08 08:31:00,Extended Wrap Up[10048],143040
6,2021-01-08 08:31:00,Go To Logout[10025],360
6,2021-01-08 08:31:00,Lunch[10001],2220
7,2021-01-08 08:32:00,Extended Wrap Up[10048],57540
7,2021-01-08 08:32:00,Go To Logout[10025],420
7,2021-01-08 08:32:00,Lunch[10001],215700
7,2021-01-08 08:32:00,RONA[32767],360
5,2021-01-08 09:02:00,Break[10003],51960
5,2021-01-08 09:02:00,Extended Wrap Up[10048],100440
5,2021-01-08 09:02:00,Go To Logout[10025],180
5,2021-01-08 09:02:00,Lunch[10001],4560
18,2021-01-08 09:05:00,Break[10003],56100
18,2021-01-08 09:05:00,Extended Wrap Up[10048],74520
18,2021-01-08 09:05:00,Go To Logout[10025],300
14,2021-01-08 09:09:00,Extended Wrap Up[10048],39540
14,2021-01-08 09:09:00,Go To Logout[10025],180
14,2021-01-08 14:06:00,Extended Wrap Up[10048],32700
14,2021-01-08 14:06:00,Go To Logout[10025],360
12,2021-01-11 07:56:00,Break[10003],65100
12,2021-01-11 07:56:00,Extended Wrap Up[10048],21180
12,2021-01-11 07:56:00,Go To Logout[10025],420
12,2021-01-11 07:56:00,Lunch[10001],7680
12,2021-01-11 07:56:00,RONA[32767],240
11,2021-01-11 08:19:00,Break[10003],23820
11,2021-01-11 08:19:00,Extended Wrap Up[10048],3240
11,2021-01-11 08:19:00,Go To Logout[10025],540
11,2021-01-11 08:19:00,Lunch[10001],1320
11,2021-01-11 08:19:00,Outbound Calls[32],480
11,2021-01-11 08:19:00,RONA[32767],300
16,2021-01-11 08:28:00,Break[10003],53580
16,2021-01-11 08:28:00,Extended Wrap Up[10048],27300
16,2021-01-11 08:28:00,Lunch[10001],660
1,2021-01-11 08:29:00,Administration[11043],180
1,2021-01-11 08:29:00,Break[10003],34560
1,2021-01-11 08:29:00,Extended Wrap Up[10048],11700
1,2021-01-11 08:29:00,Go To Logout[10025],300
1,2021-01-11 08:29:00,Lunch[10001],215400
2,2021-01-11 08:29:00,Break[10003],101640
2,2021-01-11 08:29:00,Go To Logout[10025],240
2,2021-01-11 08:29:00,Lunch[10001],164040
2,2021-01-11 08:29:00,RONA[32767],3420
3,2021-01-11 08:30:00,Break[10003],15960
3,2021-01-11 08:30:00,Extended Wrap Up[10048],103080
3,2021-01-11 08:30:00,Go To Logout[10025],1440
3,2021-01-11 08:30:00,Lunch[10001],360
3,2021-01-11 08:30:00,Outbound Calls[32],1320
8,2021-01-11 08:32:00,Break[10003],19800
8,2021-01-11 08:32:00,Extended Wrap Up[10048],51060
8,2021-01-11 08:32:00,Go To Logout[10025],480
8,2021-01-11 08:32:00,Lunch[10001],540
7,2021-01-11 08:34:00,Break[10003],660
7,2021-01-11 08:34:00,Extended Wrap Up[10048],57900
7,2021-01-11 08:34:00,Go To Logout[10025],300
7,2021-01-11 08:34:00,Lunch[10001],7440
5,2021-01-11 08:34:00,Break[10003],39420
5,2021-01-11 08:34:00,Extended Wrap Up[10048],164040
5,2021-01-11 08:34:00,Go To Logout[10025],240
5,2021-01-11 08:34:00,Lunch[10001],7500
5,2021-01-11 08:34:00,RONA[32767],60
6,2021-01-11 08:59:00,Break[10003],32400
6,2021-01-11 08:59:00,Extended Wrap Up[10048],27780
6,2021-01-11 08:59:00,Go To Logout[10025],3600
6,2021-01-11 08:59:00,Lunch[10001],3180
18,2021-01-11 09:04:00,Break[10003],56940
18,2021-01-11 09:04:00,Extended Wrap Up[10048],63180
18,2021-01-11 09:04:00,Go To Logout[10025],480
14,2021-01-11 09:12:00,Break[10003],11100
14,2021-01-11 09:12:00,Extended Wrap Up[10048],43800
14,2021-01-11 09:12:00,Go To Logout[10025],360
14,2021-01-11 14:01:00,Break[10003],60240
14,2021-01-11 14:01:00,Extended Wrap Up[10048],16920
14,2021-01-11 14:01:00,Go To Logout[10025],240
4,2021-01-12 07:53:00,Administration[11043],120
4,2021-01-12 07:53:00,Break[10003],8640
4,2021-01-12 07:53:00,Go To Logout[10025],300
4,2021-01-12 07:53:00,Lunch[10001],840
4,2021-01-12 07:53:00,RONA[32767],540
12,2021-01-12 07:58:00,Break[10003],41820
12,2021-01-12 07:58:00,Extended Wrap Up[10048],77880
12,2021-01-12 07:58:00,Go To Logout[10025],180
12,2021-01-12 07:58:00,Lunch[10001],13740
11,2021-01-12 08:17:00,Break[10003],38760
11,2021-01-12 08:17:00,Extended Wrap Up[10048],10560
11,2021-01-12 08:17:00,Go To Logout[10025],240
11,2021-01-12 08:17:00,Lunch[10001],214080
1,2021-01-12 08:27:00,Break[10003],39540
1,2021-01-12 08:27:00,Extended Wrap Up[10048],22080
1,2021-01-12 08:27:00,Go To Logout[10025],240
1,2021-01-12 08:27:00,Lunch[10001],4620
13,2021-01-12 08:29:00,Break[10003],54060
13,2021-01-12 08:29:00,Extended Wrap Up[10048],34800
13,2021-01-12 08:29:00,Go To Logout[10025],420
13,2021-01-12 08:29:00,Lunch[10001],4560
13,2021-01-12 08:29:00,RONA[32767],180
2,2021-01-12 08:29:00,Break[10003],99600
2,2021-01-12 08:29:00,Go To Logout[10025],300
2,2021-01-12 08:29:00,Lunch[10001],164700
8,2021-01-12 08:30:00,Administration[11043],183360
8,2021-01-12 08:30:00,Extended Wrap Up[10048],9360
8,2021-01-12 08:30:00,Go To Logout[10025],360
8,2021-01-12 08:30:00,Lunch[10001],1200
6,2021-01-12 08:33:00,Break[10003],29220
6,2021-01-12 08:33:00,Extended Wrap Up[10048],94920
6,2021-01-12 08:33:00,Go To Logout[10025],540
6,2021-01-12 08:33:00,Lunch[10001],600
7,2021-01-12 08:36:00,Extended Wrap Up[10048],56820
7,2021-01-12 08:36:00,Go To Logout[10025],900
7,2021-01-12 08:36:00,Lunch[10001],215580
7,2021-01-12 08:36:00,RONA[32767],300
5,2021-01-12 09:06:00,Break[10003],66000
5,2021-01-12 09:06:00,Extended Wrap Up[10048],102780
5,2021-01-12 09:06:00,Go To Logout[10025],240
5,2021-01-12 09:06:00,Lunch[10001],17160
18,2021-01-12 09:08:00,Break[10003],71400
18,2021-01-12 09:08:00,Extended Wrap Up[10048],51540
18,2021-01-12 09:08:00,Go To Logout[10025],960
14,2021-01-12 09:10:00,Administration[11043],10320
14,2021-01-12 09:10:00,Break[10003],9480
14,2021-01-12 09:10:00,Extended Wrap Up[10048],23280
14,2021-01-12 09:10:00,Go To Logout[10025],300
14,2021-01-12 09:10:00,RONA[32767],420
14,2021-01-12 14:10:00,Break[10003],20640
14,2021-01-12 14:10:00,Extended Wrap Up[10048],29940
14,2021-01-12 14:10:00,Go To Logout[10025],180
4,2021-01-13 07:48:00,Break[10003],35640
4,2021-01-13 07:48:00,Go To Logout[10025],2820
4,2021-01-13 07:48:00,Lunch[10001],6360
4,2021-01-13 07:48:00,RONA[32767],0
12,2021-01-13 08:01:00,Break[10003],68100
12,2021-01-13 08:01:00,Extended Wrap Up[10048],81120
12,2021-01-13 08:01:00,Go To Logout[10025],300
12,2021-01-13 08:01:00,Lunch[10001],12600
12,2021-01-13 08:01:00,RONA[32767],240
11,2021-01-13 08:12:00,Administration[11043],104520
11,2021-01-13 08:12:00,Break[10003],46200
11,2021-01-13 08:12:00,Go To Logout[10025],180
11,2021-01-13 08:12:00,Lunch[10001],1140
16,2021-01-13 08:26:00,Break[10003],72480
16,2021-01-13 08:26:00,Extended Wrap Up[10048],31920
16,2021-01-13 08:26:00,Go To Logout[10025],180
16,2021-01-13 08:26:00,Lunch[10001],6780
1,2021-01-13 08:29:00,Administration[11043],60
1,2021-01-13 08:29:00,Break[10003],44580
1,2021-01-13 08:29:00,Extended Wrap Up[10048],3420
1,2021-01-13 08:29:00,Go To Logout[10025],300
1,2021-01-13 08:29:00,Lunch[10001],4980
2,2021-01-13 08:30:00,Break[10003],108300
2,2021-01-13 08:30:00,Extended Wrap Up[10048],9120
2,2021-01-13 08:30:00,Go To Logout[10025],360
2,2021-01-13 08:30:00,Lunch[10001],161760
2,2021-01-13 08:30:00,RONA[32767],300
8,2021-01-13 08:31:00,Extended Wrap Up[10048],18600
8,2021-01-13 08:31:00,Go To Logout[10025],1020
8,2021-01-13 08:31:00,Lunch[10001],214440
13,2021-01-13 08:32:00,Administration[11043],15900
13,2021-01-13 08:32:00,Break[10003],63420
13,2021-01-13 08:32:00,Go To Logout[10025],540
13,2021-01-13 08:32:00,Lunch[10001],20880
13,2021-01-13 08:32:00,RONA[32767],29580
6,2021-01-13 08:34:00,Break[10003],18840
6,2021-01-13 08:34:00,Extended Wrap Up[10048],131940
6,2021-01-13 08:34:00,Go To Logout[10025],180
6,2021-01-13 08:34:00,Lunch[10001],4260
5,2021-01-13 09:03:00,Break[10003],52860
5,2021-01-13 09:03:00,Extended Wrap Up[10048],65940
5,2021-01-13 09:03:00,Go To Logout[10025],240
5,2021-01-13 09:03:00,Lunch[10001],14160
18,2021-01-13 09:06:00,Break[10003],57360
18,2021-01-13 09:06:00,Extended Wrap Up[10048],30180
18,2021-01-13 09:06:00,Go To Logout[10025],360
14,2021-01-13 09:13:00,Administration[11043],600
14,2021-01-13 09:13:00,Extended Wrap Up[10048],44880
14,2021-01-13 09:13:00,Go To Logout[10025],240
14,2021-01-13 09:13:00,RONA[32767],420
14,2021-01-13 14:07:00,Administration[11043],900
14,2021-01-13 14:07:00,Break[10003],11280
14,2021-01-13 14:07:00,Extended Wrap Up[10048],15780
14,2021-01-13 14:07:00,Go To Logout[10025],180
4,2021-01-14 07:46:00,Break[10003],8280
4,2021-01-14 07:46:00,Lunch[10001],1740
4,2021-01-14 07:46:00,RONA[32767],360
12,2021-01-14 07:59:00,Break[10003],68700
12,2021-01-14 07:59:00,Extended Wrap Up[10048],59640
12,2021-01-14 07:59:00,Go To Logout[10025],540
12,2021-01-14 07:59:00,Lunch[10001],5760
11,2021-01-14 08:20:00,Break[10003],15720
11,2021-01-14 08:20:00,Computer Issues[10030],16320
11,2021-01-14 08:20:00,Extended Wrap Up[10048],7980
11,2021-01-14 08:20:00,Go To Logout[10025],180
11,2021-01-14 08:20:00,Lunch[10001],7620
1,2021-01-14 08:25:00,Break[10003],23700
1,2021-01-14 08:25:00,Computer Issues[10030],3300
1,2021-01-14 08:25:00,Go To Logout[10025],300
16,2021-01-14 08:28:00,Break[10003],3420
16,2021-01-14 08:28:00,Extended Wrap Up[10048],5940
16,2021-01-14 08:28:00,Lunch[10001],34140
3,2021-01-14 08:29:00,Administration[11043],60
3,2021-01-14 08:29:00,Break[10003],32460
3,2021-01-14 08:29:00,Computer Issues[10030],7080
3,2021-01-14 08:29:00,Extended Wrap Up[10048],91620
3,2021-01-14 08:29:00,Go To Logout[10025],300
3,2021-01-14 08:29:00,Lunch[10001],215580
3,2021-01-14 08:29:00,Outbound Calls[32],540
8,2021-01-14 08:29:00,Extended Wrap Up[10048],16200
8,2021-01-14 08:29:00,Lunch[10001],240
2,2021-01-14 08:31:00,Administration[11043],15300
2,2021-01-14 08:31:00,Break[10003],54540
2,2021-01-14 08:31:00,Lunch[10001],29160
6,2021-01-14 08:32:00,Extended Wrap Up[10048],77460
6,2021-01-14 08:32:00,Lunch[10001],33360
13,2021-01-14 08:35:00,Break[10003],60960
18,2021-01-14 09:07:00,Break[10003],56160
18,2021-01-14 09:07:00,Computer Issues[10030],4140
18,2021-01-14 09:07:00,Extended Wrap Up[10048],45840
18,2021-01-14 09:07:00,Go To Logout[10025],360
18,2021-01-14 09:07:00,Outbound Calls[32],14280
5,2021-01-14 09:08:00,Break[10003],33420
5,2021-01-14 09:08:00,Extended Wrap Up[10048],40560
14,2021-01-14 09:10:00,Extended Wrap Up[10048],14940
14,2021-01-14 12:11:00,Computer Issues[10030],2100
14,2021-01-14 12:11:00,Extended Wrap Up[10048],1320
14,2021-01-14 12:11:00,Go To Logout[10025],360
13,2021-01-14 12:15:00,Computer Issues[10030],5940
13,2021-01-14 12:15:00,Extended Wrap Up[10048],3600
13,2021-01-14 12:15:00,Lunch[10001],11400
1,2021-01-14 12:17:00,Break[10003],22560
1,2021-01-14 12:17:00,Go To Logout[10025],240
1,2021-01-14 12:17:00,Lunch[10001],780
8,2021-01-14 12:17:00,Extended Wrap Up[10048],7560
8,2021-01-14 12:17:00,Go To Logout[10025],300
4,2021-01-14 12:18:00,Go To Logout[10025],480
4,2021-01-14 12:18:00,RONA[32767],4500
2,2021-01-14 12:19:00,Lunch[10001],97560
5,2021-01-14 12:21:00,Extended Wrap Up[10048],16260
5,2021-01-14 12:21:00,Lunch[10001],26940
18,2021-01-14 12:28:00,Go To Logout[10025],420
14,2021-01-14 12:31:00,Extended Wrap Up[10048],16200
14,2021-01-14 12:31:00,Go To Logout[10025],420
16,2021-01-14 13:09:00,Break[10003],4140
6,2021-01-14 13:12:00,Extended Wrap Up[10048],2760
4,2021-01-14 13:17:00,Break[10003],10500
4,2021-01-14 13:17:00,Go To Logout[10025],1380
16,2021-01-14 13:18:00,Break[10003],62940
16,2021-01-14 13:18:00,Extended Wrap Up[10048],11940
16,2021-01-14 13:18:00,Go To Logout[10025],120
6,2021-01-14 13:19:00,Extended Wrap Up[10048],66900
6,2021-01-14 13:19:00,Go To Logout[10025],180
8,2021-01-14 13:21:00,Extended Wrap Up[10048],7680
8,2021-01-14 13:21:00,Go To Logout[10025],300
2,2021-01-14 13:24:00,Break[10003],46200
2,2021-01-14 13:24:00,Extended Wrap Up[10048],17040
2,2021-01-14 13:24:00,Go To Logout[10025],300
5,2021-01-14 14:03:00,Break[10003],8160
5,2021-01-14 14:03:00,Extended Wrap Up[10048],52020
14,2021-01-14 14:05:00,Break[10003],21660
14,2021-01-14 14:05:00,Extended Wrap Up[10048],7500
14,2021-01-14 14:05:00,Go To Logout[10025],240
13,2021-01-14 14:07:00,Break[10003],46800
13,2021-01-14 14:07:00,Extended Wrap Up[10048],6900
13,2021-01-14 14:07:00,Go To Logout[10025],180
4,2021-01-15 07:48:00,Break[10003],8640
4,2021-01-15 07:48:00,Go To Logout[10025],240
4,2021-01-15 07:48:00,Lunch[10001],600
4,2021-01-15 07:48:00,RONA[32767],60
12,2021-01-15 08:01:00,Break[10003],65820
12,2021-01-15 08:01:00,Extended Wrap Up[10048],5220
12,2021-01-15 08:01:00,Go To Logout[10025],240
12,2021-01-15 08:01:00,Lunch[10001],5040
12,2021-01-15 08:01:00,RONA[32767],180
11,2021-01-15 08:09:00,Break[10003],40200
11,2021-01-15 08:09:00,Extended Wrap Up[10048],1560
11,2021-01-15 08:09:00,Go To Logout[10025],240
11,2021-01-15 08:09:00,Lunch[10001],1020
1,2021-01-15 08:26:00,Break[10003],54480
1,2021-01-15 08:26:00,Extended Wrap Up[10048],4740
1,2021-01-15 08:26:00,Go To Logout[10025],180
1,2021-01-15 08:26:00,Lunch[10001],9420
16,2021-01-15 08:28:00,Break[10003],34560
16,2021-01-15 08:28:00,Extended Wrap Up[10048],120900
16,2021-01-15 08:28:00,Go To Logout[10025],120
16,2021-01-15 08:28:00,Lunch[10001],16860
16,2021-01-15 08:28:00,Outbound Calls[32],420
3,2021-01-15 08:30:00,Break[10003],37560
3,2021-01-15 08:30:00,Extended Wrap Up[10048],59940
3,2021-01-15 08:30:00,Go To Logout[10025],180
3,2021-01-15 08:30:00,Lunch[10001],960
3,2021-01-15 08:30:00,Outbound Calls[32],300
2,2021-01-15 08:30:00,Administration[11043],11220
2,2021-01-15 08:30:00,Break[10003],100800
2,2021-01-15 08:30:00,Extended Wrap Up[10048],5160
2,2021-01-15 08:30:00,Go To Logout[10025],360
2,2021-01-15 08:30:00,Lunch[10001],164280
13,2021-01-15 08:32:00,Break[10003],78960
13,2021-01-15 08:32:00,Extended Wrap Up[10048],5760
13,2021-01-15 08:32:00,Go To Logout[10025],180
13,2021-01-15 08:32:00,Lunch[10001],3360
13,2021-01-15 08:32:00,RONA[32767],300
8,2021-01-15 08:33:00,Break[10003],11400
8,2021-01-15 08:33:00,Extended Wrap Up[10048],20760
8,2021-01-15 08:33:00,Go To Logout[10025],300
